index,x,y,z
132,-0.000386844,-0.000751716,-0.00037951
133,-0.000232794,-0.00058785,-0.000412488
134,-0.000244083,-0.000500855,-0.000442185
135,-0.000293433,-0.000710704,-0.000418738
136,-0.000289145,-0.000787189,-0.000456364
137,-0.000339687,-0.000784778,-0.00041523
138,-0.000312307,-0.000758722,-0.000352505
139,-0.000328486,-0.000909638,-0.000549292
140,-0.00028262,-0.000917831,-0.000585941
141,-0.000362415,-0.000987312,-0.000564891
142,-0.000435929,-0.001182144,-0.000602169
143,-0.000505896,-0.001113425,-0.000789822
144,-0.001666504,-0.001678295,-0.001094612
145,-0.001189243,-0.001205247,-0.000963994
146,-2.95E-06,-0.001798601,-0.000613879
147,0.000342424,-0.002019629,-0.00029218
148,0.000260804,-0.001883119,-0.000283754
149,-0.000765595,-0.001012192,-0.000447436
150,-0.00107658,0.000112871,-0.00074036
151,0.000105601,-0.000460247,0.000334423
152,0.000493281,-0.00081489,-0.000860436
153,2.55E-05,-0.000673773,-0.000267906
154,-0.000466339,-0.000321653,-2.07E-05
155,-0.000988081,-0.001044537,0.000200582
156,-0.000849409,-0.000638807,-0.000388006
157,-0.00032216,0.00031548,-0.00023812
158,-0.000482178,-0.000153658,-0.000175224
159,-0.000643516,-0.000716506,-0.00013897
160,-0.000853437,-0.000668205,-0.000301635
161,-0.000864289,-0.000478835,-0.000367195
162,-0.000823154,-0.000588242,-0.000427744
163,-0.000672907,-0.000574425,-0.00030574
164,-0.000632866,-0.000783019,-0.000138655
165,-0.000558396,-0.000808864,-0.000166742
166,-0.000503915,-0.000659043,3.00E-06
167,-0.000538918,-0.000501747,-0.000181148
168,-0.000491743,-0.000368479,-0.000112898
169,-0.000555479,-0.000307986,-0.000284418
170,-0.000496973,-0.000130635,-0.000341909
171,-0.000409596,-0.000193139,-0.000175725
172,-0.000467349,-9.02E-05,-0.000304415
173,-0.000508502,-0.000488101,-0.000348699
174,-0.000332506,-0.000875702,-0.000177498
175,-0.000333547,-0.000987375,-3.62E-05
176,-0.000565737,-0.001149627,-5.11E-05
177,-0.000613312,-0.001217605,-0.000296299
178,-0.000531408,-0.001026134,-0.000285882
179,-0.000749543,-0.000910073,-0.000464985
180,-0.000459548,-0.00073933,-7.33E-05
181,-0.000474756,-0.000759604,-0.000212567
182,-0.000412418,-0.000716285,-6.86E-05
183,-0.000342193,-0.00070569,7.16E-05
184,-0.000295642,-0.000780713,7.66E-05
185,-0.000324138,-0.000646349,2.33E-05
186,-0.000295196,-0.000745241,-2.81E-05
187,-0.000193448,-0.000948737,0.000174312
188,-8.82E-05,-0.000786357,0.000114643
189,-0.000152718,-0.000928379,4.12E-05
190,-0.000698058,-0.00054581,-0.000175056
191,-0.000468008,-0.0010165,-0.00016571
192,-0.000378902,-0.000785723,-0.000265622
193,-0.000717372,-0.00090731,-0.000528597
194,-0.000769897,-0.000798703,-0.000551619
195,-0.000964218,-0.000940623,-0.000618093
196,-0.000863261,-0.00098692,-0.0005465
197,-0.000863743,-0.00095567,-0.000559722
198,-0.000912383,-0.000833533,-0.000626976
199,-0.000928486,-0.000917548,-0.000683662
200,-0.000595551,-0.001408886,-0.000435435
201,-0.000612307,-0.00145434,-0.000316462
202,-0.000745267,-0.001101818,-0.000572727
203,-0.000752821,-0.000930823,-0.000563065
204,-0.000926216,-0.000826083,-0.000572514
205,-0.000893722,-0.000586721,-0.000542123
206,-0.000795399,-0.000685654,-0.000365656
207,-0.000792821,-0.000609699,-0.000352765
208,-0.000749317,-0.000537837,-0.000405641
209,-0.000659195,-0.000702008,-0.000438606
210,-0.000284269,-0.000690365,-0.000228994
211,-0.000164859,-0.000727542,-0.000197677
212,-0.000266919,-0.000539192,-0.000248404
213,-0.00041281,-0.000649288,-0.000174521
214,-0.000640297,-0.000484296,-0.000232433
215,-0.0007912,-0.000503649,-0.000277388
216,-0.000841604,-0.000344963,-0.000241784
217,-0.000678512,-0.000273814,-0.000208949
218,-0.000610973,-0.000322817,-0.000240262
219,-0.000604077,-0.000292188,-0.000228704
220,-0.000935797,-0.000320746,-3.06E-05
221,-0.000297972,0.000320198,-0.000799968
222,-0.000581435,-1.98E-05,-0.000287747
223,-0.001085144,-6.21E-05,-0.000531903
224,-0.001024816,-7.87E-05,-0.000409993
225,-0.000910735,-0.000197464,-0.000434311
226,-0.000734676,-0.000163146,-0.000420305
227,-0.000616263,-0.000141073,-0.000437219
228,-0.000604631,-9.14E-05,-0.000362742
229,-0.000465226,-0.00022007,-0.000381409
230,-0.000470096,-0.00017969,-0.000291305
231,-0.000490552,-0.0001993,-0.000381884
232,-0.000458037,-0.000262871,-0.000296433
233,-0.000385462,-0.000335659,-0.000319517
234,-0.000281311,-0.000351249,-0.00029686
235,-0.000319988,-0.000409473,-0.000272322
236,-0.000349583,-0.000465609,-0.000279013
237,-0.000419467,-0.000274352,-0.000372428
238,-0.000449409,-0.000153636,-0.000399132
239,-0.000459214,0.000138756,-0.000331719
240,-0.00054498,0.000274601,-0.000361932
