# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
2601353 -0.03053,0.92827,0.16042
2605918 -0.03311,0.94000,0.16206
2610734 -0.02014,0.95813,0.18469
2615304 -0.03781,0.93144,0.17200
2620121 -0.03910,0.93521,0.15672
2624689 -0.03003,0.95909,0.16334
2629259 -0.03038,0.97763,0.16711
2634080 -0.03352,0.98593,0.17961
2638651 -0.03836,0.99153,0.18106
2643474 -0.04122,0.99389,0.18524
2648047 -0.03671,0.99577,0.18913
2652865 -0.02222,0.98970,0.19795
2657438 -0.00865,0.99448,0.20397
2662015 0.00055,1.00501,0.20431
2666838 0.00234,0.99531,0.21103
2671881 0.00113,1.00191,0.21147
2676698 0.00402,0.99892,0.21394
2681267 0.00927,0.99417,0.21838
2686081 0.00653,0.99367,0.21889
2690640 0.00834,0.98404,0.21110
2695451 -0.00026,0.98618,0.21359
2700021 -0.00539,0.99327,0.21405
2704584 -0.00871,1.00632,0.21149
2709399 -0.00290,1.00488,0.20999
2713967 -0.00071,1.00738,0.20799
2718783 0.00356,1.02065,0.19554
2723345 0.00141,1.03864,0.19097
2728161 -0.00223,1.05888,0.19523
2732730 -0.00233,1.07195,0.19167
2737297 0.00114,1.08788,0.18093
2742594 -0.00286,1.09572,0.16981
2747164 -0.00229,1.10377,0.17170
2751985 -0.00282,1.10506,0.17957
2756557 0.00177,1.09943,0.19042
2761375 0.00134,1.09316,0.19687
2765942 0.00909,1.06260,0.20497
2770514 0.01852,1.04647,0.20309
2775329 0.01618,1.04810,0.18488
2779897 0.01399,1.05715,0.16341
2784710 0.00533,1.05598,0.14945
2789278 0.00221,1.06420,0.15432
2794094 -0.00178,1.07623,0.16457
2798665 -0.00465,1.08393,0.17091
2803234 -0.00492,1.08996,0.17529
2808050 -0.00595,1.09278,0.16986
2812618 -0.00714,1.09385,0.16543
2817914 -0.00233,1.09458,0.15506
2822483 -0.00326,1.10066,0.14566
