# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
231429269 0.93252,0.15642,-0.00629
231434334 0.93668,0.16649,-0.00739
231439169 0.92738,0.16926,-0.01080
231443757 0.92156,0.16563,-0.01319
231448590 0.91533,0.16088,-0.00917
231453179 0.90661,0.16626,-0.01999
231457763 0.90731,0.16561,-0.01286
231462593 0.90278,0.16401,-0.00715
231467172 0.88976,0.15696,-0.00996
231472003 0.87945,0.14097,-0.02968
231476583 0.88706,0.15587,-0.01608
231481414 0.91996,0.16023,-0.01289
231485993 0.92624,0.16953,-0.02310
231490571 0.96418,0.16361,-0.02009
231495402 1.00756,0.15379,-0.00723
231500467 1.03683,0.14026,0.01829
231505297 0.99721,0.14156,0.03575
231509874 0.92010,0.15527,0.03415
231514705 0.85591,0.17800,0.03484
231519285 0.84327,0.17784,0.04206
231523865 0.86997,0.16117,0.03195
231528687 0.89370,0.15508,0.01980
231533269 0.91670,0.17066,0.01435
231538097 0.92553,0.17928,0.01274
231542676 0.92497,0.17110,0.00544
231547502 0.92814,0.17239,0.00270
231552082 0.93150,0.17442,-0.00029
231556664 0.94186,0.16894,-0.00695
231561489 0.94507,0.16932,-0.01313
231566546 0.94941,0.17506,-0.00656
231571373 0.94966,0.16949,-0.00947
231575950 0.94711,0.17502,-0.00458
231580776 0.94884,0.16154,-0.00447
231585357 0.93492,0.16429,0.00371
231590183 0.94645,0.16909,-0.00256
231594762 0.94417,0.16761,0.02011
231599342 0.93156,0.15124,0.01714
231604169 0.91207,0.15525,0.02362
231608748 0.89382,0.16284,0.02342
231613575 0.90035,0.16578,0.02360
231618156 0.89951,0.15329,0.02347
231622978 0.96102,0.14594,-0.00834
231627557 0.94760,0.15101,0.05025
231632141 0.92397,0.15094,0.03072
231637448 0.92566,0.15940,0.03604
231642028 0.92575,0.15758,0.02966
231646859 0.93665,0.14951,0.04000
231651441 0.92802,0.14749,0.03171
231656273 0.92054,0.16151,0.01785
231660859 0.91020,0.16153,0.01693
231665436 0.92659,0.16024,0.00921
231670269 0.93226,0.15154,0.00360
231674849 0.94515,0.15130,-0.00731
231679677 0.94067,0.15439,-0.01420
231684256 0.94898,0.15880,-0.01355
231689084 0.95143,0.14450,-0.00975
231693664 0.95219,0.14763,0.00375
231698490 0.94433,0.14861,0.00379
231703544 0.93079,0.15398,-0.00675
231708125 0.92058,0.16167,-0.01143
231712956 0.92138,0.15922,-0.01166
231717538 0.92962,0.14945,-0.01285
231722367 0.93590,0.15275,-0.00677
231726948 0.94564,0.15106,-0.01863
231731773 0.95378,0.15970,-0.02122
231736353 0.95489,0.15033,-0.02950
231740933 0.94775,0.15598,-0.03049
231745761 0.94027,0.15861,-0.02752
231750341 0.93624,0.16147,-0.02407
231755173 0.92504,0.15981,-0.01587
231759753 0.94066,0.14936,-0.01956
231764586 0.94890,0.16088,-0.01923
231769169 0.97673,0.14423,-0.01925
231774481 0.97483,0.15068,-0.01143
231779063 0.95886,0.14834,-0.01721
231783644 0.95256,0.16113,-0.01925
231788475 0.95539,0.15433,-0.02216
231793057 0.95647,0.15012,-0.00884
231797889 0.95323,0.14560,-0.01518
231802472 0.95935,0.15306,-0.01972
231807301 0.96681,0.15062,-0.02023
231811884 0.96563,0.14646,-0.03175
231816469 0.94693,0.15350,-0.02899
231821304 0.93194,0.15465,-0.02595
231825892 0.92190,0.15834,-0.02691
231830731 0.91070,0.15679,-0.02387
231835316 0.91025,0.15096,-0.01520
231840633 0.91244,0.14784,-0.00707
231845219 0.91563,0.15374,-0.00763
231849802 0.91878,0.15550,-0.00964
231854639 0.92525,0.14938,-0.00962
231859224 0.92961,0.14933,-0.00719
231864061 0.92567,0.15037,-0.01013
231868646 0.92104,0.15108,-0.00912
231873475 0.92077,0.15174,-0.00568
231878057 0.91956,0.14765,0.00174
231882639 0.92067,0.14331,-0.00118
231887467 0.93018,0.14679,-0.00324
231892051 0.93287,0.14291,-0.00519
231896884 0.93766,0.14385,-0.00326
231901463 0.94000,0.14300,-0.00868
231906774 0.94422,0.14643,-0.00873
231911355 0.94459,0.14840,-0.00925
231916186 0.94525,0.14402,-0.01069
231920769 0.94880,0.14698,-0.01123
231925352 0.95039,0.14207,-0.01070
231930184 0.95187,0.14493,-0.00729
231934768 0.94718,0.13620,-0.00030
231939600 0.94571,0.14314,0.00703
231944183 0.94439,0.14195,0.00533
231949016 0.94330,0.13495,0.01155
231953598 0.94664,0.13740,0.01200
231958183 0.94735,0.13691,0.01200
231963017 0.94486,0.14163,0.00877
231967600 0.94244,0.13936,0.00069
231972429 0.94041,0.14373,0.00239
231977494 0.93228,0.14058,0.00074
231982329 0.92957,0.13930,0.00299
231986912 0.93053,0.14878,0.00659
231991744 0.92894,0.14275,0.01305
231996326 0.93226,0.14054,0.01354
232000911 0.93552,0.13924,0.01697
232005785 0.93232,0.13343,0.02467
232010365 0.93315,0.12997,0.02617
232015199 0.92394,0.13037,0.02992
232019782 0.93032,0.13162,0.02888
232024613 0.94283,0.13501,0.02016
232029193 0.94989,0.13103,0.02286
232033775 0.95234,0.12218,0.02415
232038606 0.95284,0.12682,0.01402
232043672 0.95323,0.12804,0.02508
232048501 0.94671,0.11411,0.02328
232053085 0.93637,0.11908,0.03093
232057914 0.94336,0.11735,0.02056
232062496 0.95224,0.12472,0.01995
232067071 0.95840,0.12575,0.01818
232071899 0.96146,0.12412,0.01448
232076481 0.96222,0.12777,0.01543
232081313 0.95389,0.12930,0.01252
232085894 0.95128,0.13131,0.01030
232090725 0.95381,0.13140,0.00635
232095308 0.94783,0.12589,0.01136
232100141 0.95152,0.12027,0.01089
232104721 0.94637,0.12787,0.01061
232109306 0.95439,0.12836,0.01080
232114618 0.97040,0.13541,0.01383
232119199 0.99754,0.11979,-0.01055
232124032 0.92979,0.11254,0.01602
232128613 0.90715,0.13618,0.02136
232133444 0.85953,0.15382,0.00945
232138024 0.89671,0.15461,0.01905
232142605 0.91644,0.13381,0.02920
232147430 0.95175,0.11953,0.03329
232152010 0.93880,0.13219,0.02538
232156839 0.95013,0.14129,0.02449
232161419 0.91908,0.11533,0.02271
232166247 0.94007,0.12416,0.02298
232170826 0.90793,0.12375,0.01852
232175405 0.91749,0.12070,0.01233
232180716 0.91407,0.11994,0.01359
232185290 0.95345,0.10789,0.00558
232190114 0.96313,0.10158,0.01418
232194689 0.96055,0.10288,0.01074
232199515 0.95135,0.10828,0.00977
232204093 0.94153,0.10729,-0.00098
232208923 0.94029,0.09857,0.00525
232213502 0.94097,0.09894,-0.00017
232218082 0.96301,0.09979,-0.00499
232222910 0.98972,0.09860,-0.00564
232227488 0.99744,0.10629,-0.00969
232232314 1.00226,0.10621,-0.00579
232236897 0.98511,0.09875,-0.00118
232241726 0.95800,0.10340,0.00903
232246303 0.92995,0.10914,0.00375
232251362 0.90766,0.10909,0.00537
232256184 0.90336,0.11304,0.00388
232260761 0.90997,0.10893,0.00166
232265585 0.92512,0.11479,0.00274
232270163 0.92835,0.12526,-0.00500
232274990 0.93949,0.11779,-0.01041
232279566 0.94689,0.11146,-0.01188
232284142 0.95131,0.11027,-0.01362
232288968 0.95311,0.11633,-0.01049
232293544 0.95177,0.12588,-0.01007
232298372 0.95390,0.12966,-0.00372
232302950 0.94186,0.13155,-0.00071
232307777 0.92562,0.12979,0.00064
232312352 0.89597,0.12961,0.00796
232317662 0.85797,0.13125,0.01040
232322246 0.81530,0.13486,0.01187
232326829 0.80587,0.14024,0.01237
232331652 0.78816,0.12987,0.01529
232336231 0.95856,0.14423,-0.00831
232341058 1.01898,0.11942,-0.03726
232345639 1.00137,0.08722,0.05516
232350467 0.99531,0.12224,0.02265
232355049 0.94564,0.17182,-0.00405
232359628 0.94963,0.15930,-0.00298
232364453 0.95726,0.11568,-0.00313
232369032 0.92785,0.14223,-0.00761
232373857 0.88974,0.17903,-0.02148
232378437 0.88529,0.18638,-0.02151
