# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:27.383719 -0.06519,0.96191,0.21875
03/27/20 20:05:27.393036 -0.06567,0.96680,0.21924
03/27/20 20:05:27.402355 -0.07495,0.96313,0.21606
03/27/20 20:05:27.411667 -0.08496,0.95630,0.21289
03/27/20 20:05:27.420986 -0.07568,0.96143,0.20239
03/27/20 20:05:27.430305 -0.06738,0.94189,0.21240
03/27/20 20:05:27.439379 -0.06641,0.91943,0.21924
03/27/20 20:05:27.444727 -0.06592,0.90820,0.21753
03/27/20 20:05:27.454056 -0.07202,0.90771,0.21362
03/27/20 20:05:27.463381 -0.08032,0.88525,0.22412
03/27/20 20:05:27.472450 -0.07104,0.87354,0.22241
03/27/20 20:05:27.481766 -0.03076,0.91089,0.20654
03/27/20 20:05:27.491081 -0.03931,0.91333,0.19092
03/27/20 20:05:27.500402 -0.06787,0.89038,0.21362
03/27/20 20:05:27.509724 -0.08203,0.89648,0.21997
03/27/20 20:05:27.519033 -0.07715,0.89990,0.21924
03/27/20 20:05:27.528349 -0.07495,0.90625,0.23389
03/27/20 20:05:27.537895 -0.07031,0.90479,0.23389
03/27/20 20:05:27.547213 -0.06836,0.89551,0.25342
03/27/20 20:05:27.556522 -0.06519,0.88330,0.26099
03/27/20 20:05:27.565846 -0.06494,0.88135,0.27100
03/27/20 20:05:27.575169 -0.08203,0.89917,0.26245
03/27/20 20:05:27.584490 -0.09326,0.90283,0.27197
03/27/20 20:05:27.593800 -0.08398,0.90918,0.26758
03/27/20 20:05:27.602869 -0.07739,0.91260,0.26953
03/27/20 20:05:27.612190 -0.07373,0.90527,0.27344
03/27/20 20:05:27.621517 -0.07617,0.90137,0.27051
03/27/20 20:05:27.630833 -0.07349,0.89209,0.27197
03/27/20 20:05:27.640637 -0.07373,0.89087,0.27734
03/27/20 20:05:27.649960 -0.07227,0.89209,0.28003
03/27/20 20:05:27.659283 -0.08301,0.89722,0.28955
03/27/20 20:05:27.668346 -0.09204,0.89819,0.30713
03/27/20 20:05:27.677666 -0.09570,0.91064,0.30713
03/27/20 20:05:27.686987 -0.10400,0.90381,0.30859
03/27/20 20:05:27.696306 -0.10034,0.90576,0.31470
03/27/20 20:05:27.705627 -0.09521,0.91040,0.31885
03/27/20 20:05:27.714964 -0.09473,0.91016,0.32422
03/27/20 20:05:27.724297 -0.08765,0.92139,0.33105
03/27/20 20:05:27.733862 -0.08203,0.93604,0.33252
03/27/20 20:05:27.743187 -0.09009,0.93750,0.33740
03/27/20 20:05:27.752522 -0.08008,0.94922,0.34277
03/27/20 20:05:27.761854 -0.05713,0.96729,0.34570
03/27/20 20:05:27.771189 -0.05078,0.98047,0.34424
03/27/20 20:05:27.780514 -0.05347,1.01050,0.33691
03/27/20 20:05:27.789843 -0.06445,1.03003,0.33203
03/27/20 20:05:27.798920 -0.10376,1.05933,0.33862
03/27/20 20:05:27.808249 -0.13428,1.11694,0.31738
03/27/20 20:05:27.817566 -0.12451,1.15869,0.30518
03/27/20 20:05:27.822922 -0.11304,1.16699,0.29346
03/27/20 20:05:27.832249 -0.09033,1.16699,0.29419
03/27/20 20:05:27.841373 -0.06787,1.14771,0.30176
03/27/20 20:05:27.850697 -0.06543,1.12793,0.30811
03/27/20 20:05:27.860024 -0.05957,1.09204,0.31665
03/27/20 20:05:27.869347 -0.05566,1.07495,0.30518
03/27/20 20:05:27.878664 -0.06299,1.08252,0.28467
03/27/20 20:05:27.887978 -0.06348,1.08960,0.27490
03/27/20 20:05:27.897299 -0.04492,1.07642,0.28003
03/27/20 20:05:27.906376 -0.02734,1.07861,0.27002
03/27/20 20:05:27.911732 -0.01221,1.07471,0.25952
03/27/20 20:05:27.921045 0.01904,1.06836,0.24902
03/27/20 20:05:27.930359 0.01685,1.07324,0.24316
03/27/20 20:05:27.939430 -0.00293,1.06348,0.24072
03/27/20 20:05:27.948753 -0.02563,1.07959,0.23657
03/27/20 20:05:27.958078 -0.02856,1.09082,0.22290
03/27/20 20:05:27.967403 -0.03271,1.08569,0.21533
03/27/20 20:05:27.976723 -0.02832,1.09644,0.19727
03/27/20 20:05:27.986044 -0.00293,1.10059,0.17334
03/27/20 20:05:27.995373 0.01074,1.11694,0.15112
03/27/20 20:05:28.004934 0.01294,1.10791,0.14209
03/27/20 20:05:28.014254 0.02734,1.08252,0.14355
03/27/20 20:05:28.023582 0.01904,1.01855,0.15869
03/27/20 20:05:28.032904 0.00342,0.97217,0.16016
03/27/20 20:05:28.042225 0.00073,0.96436,0.15601
03/27/20 20:05:28.051542 0.00415,0.95654,0.15479
03/27/20 20:05:28.060865 0.00928,0.94775,0.15625
03/27/20 20:05:28.069941 0.01758,0.92041,0.15332
03/27/20 20:05:28.079269 0.04639,0.91016,0.14746
03/27/20 20:05:28.088600 0.06323,0.91235,0.13770
03/27/20 20:05:28.093960 0.08032,0.90869,0.12939
03/27/20 20:05:28.103045 0.08594,0.89160,0.12842
03/27/20 20:05:28.112370 0.07031,0.88477,0.12012
03/27/20 20:05:28.121695 0.06006,0.88477,0.10840
03/27/20 20:05:28.131018 0.04346,0.89111,0.11499
03/27/20 20:05:28.140341 0.01318,0.88379,0.12256
03/27/20 20:05:28.149666 -0.00781,0.86963,0.12793
03/27/20 20:05:28.159000 -0.04175,0.83594,0.15601
03/27/20 20:05:28.168083 -0.05688,0.80444,0.17773
03/27/20 20:05:28.177414 -0.06104,0.77539,0.18384
03/27/20 20:05:28.182764 -0.05957,0.76660,0.18652
03/27/20 20:05:28.192093 -0.05713,0.73804,0.19092
03/27/20 20:05:28.201176 -0.05859,0.72021,0.19238
03/27/20 20:05:28.210506 -0.04541,0.72510,0.19263
03/27/20 20:05:28.219831 -0.03564,0.72754,0.19678
03/27/20 20:05:28.229153 -0.02246,0.74658,0.19507
03/27/20 20:05:28.238476 -0.01392,0.76270,0.19678
03/27/20 20:05:28.247805 -0.00830,0.77808,0.19971
03/27/20 20:05:28.257130 -0.00830,0.79102,0.20508
03/27/20 20:05:28.266209 -0.01636,0.80811,0.21924
03/27/20 20:05:28.271564 -0.01807,0.80078,0.22705
03/27/20 20:05:28.280886 -0.02051,0.79175,0.24609
03/27/20 20:05:28.290197 -0.02051,0.81030,0.24854
03/27/20 20:05:28.299505 -0.01221,0.82422,0.25879
03/27/20 20:05:28.308579 -0.00220,0.83203,0.26416
03/27/20 20:05:28.317900 -0.00171,0.84570,0.26563
03/27/20 20:05:28.327211 0.00781,0.86523,0.26294
03/27/20 20:05:28.336514 0.01880,0.90015,0.25513
03/27/20 20:05:28.345837 0.01025,0.91235,0.26123
03/27/20 20:05:28.355160 -0.01196,0.93384,0.28052
03/27/20 20:05:28.364964 -0.02417,0.96655,0.28320
03/27/20 20:05:28.374043 -0.03906,0.97949,0.28809
03/27/20 20:05:28.383375 -0.07373,0.99194,0.29321
03/27/20 20:05:28.392694 -0.08813,0.99780,0.30054
03/27/20 20:05:28.402021 -0.09717,1.01416,0.30713
03/27/20 20:05:28.411343 -0.08813,1.04883,0.31152
03/27/20 20:05:28.420675 -0.07886,1.06934,0.29834
03/27/20 20:05:28.430008 -0.05078,1.11035,0.28271
03/27/20 20:05:28.439095 -0.04541,1.14771,0.27661
03/27/20 20:05:28.448422 -0.03833,1.18091,0.26514
03/27/20 20:05:28.453779 -0.03955,1.21436,0.25513
03/27/20 20:05:28.463106 -0.01807,1.25830,0.25464
03/27/20 20:05:28.472185 -0.02100,1.24414,0.27808
03/27/20 20:05:28.481506 -0.06445,1.21191,0.27515
03/27/20 20:05:28.490837 -0.08667,1.17773,0.24072
03/27/20 20:05:28.500170 -0.07324,1.18628,0.25195
03/27/20 20:05:28.509504 -0.04492,1.16382,0.26855
03/27/20 20:05:28.518829 -0.05566,1.12402,0.28955
03/27/20 20:05:28.528162 -0.07080,1.10498,0.27393
03/27/20 20:05:28.537233 -0.06934,1.10498,0.23413
03/27/20 20:05:28.542582 -0.05957,1.10547,0.22046
03/27/20 20:05:28.551891 -0.04785,1.12207,0.19238
03/27/20 20:05:28.561209 -0.02734,1.15747,0.15405
03/27/20 20:05:28.570290 -0.01489,1.16992,0.11279
03/27/20 20:05:28.579622 -0.01245,1.16113,0.09521
03/27/20 20:05:28.588953 -0.02856,1.13281,0.10400
03/27/20 20:05:28.598286 -0.01709,1.10205,0.10132
03/27/20 20:05:28.607622 -0.01270,1.09058,0.10693
03/27/20 20:05:28.616955 -0.04761,1.03955,0.12744
03/27/20 20:05:28.626282 -0.06885,0.96973,0.15088
03/27/20 20:05:28.635832 -0.08447,0.91528,0.15698
03/27/20 20:05:28.645149 -0.13892,0.84570,0.15698
03/27/20 20:05:28.654471 -0.17578,0.79980,0.16504
03/27/20 20:05:28.663790 -0.17212,0.76880,0.14697
03/27/20 20:05:28.673115 -0.12256,0.78320,0.12329
03/27/20 20:05:28.682430 -0.10205,0.77026,0.12988
03/27/20 20:05:28.691752 -0.12671,0.76416,0.13599
03/27/20 20:05:28.700821 -0.12085,0.77051,0.14111
03/27/20 20:05:28.710146 -0.10425,0.78662,0.14160
03/27/20 20:05:28.719475 -0.10327,0.78125,0.13794
03/27/20 20:05:28.724831 -0.10327,0.77441,0.14111
03/27/20 20:05:28.734150 -0.11035,0.77637,0.13379
03/27/20 20:05:28.743229 -0.12817,0.75122,0.14697
03/27/20 20:05:28.752548 -0.16016,0.71240,0.16943
