# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/24/20 16:47:33.795567 0.02759,1.14966,0.11328
03/24/20 16:47:33.804901 0.06006,1.34497,0.10547
03/24/20 16:47:33.813980 0.01636,1.55811,0.11426
03/24/20 16:47:33.823318 -0.19849,1.60278,0.13794
03/24/20 16:47:33.832661 -0.32056,1.52148,0.13501
03/24/20 16:47:33.842011 -0.47974,1.42480,0.19678
03/24/20 16:47:33.851368 -0.50122,1.34644,0.29688
03/24/20 16:47:33.860722 -0.68066,1.29736,0.42871
03/24/20 16:47:33.870068 -0.81763,1.16357,0.46533
03/24/20 16:47:33.879658 -0.69824,1.15576,0.37598
03/24/20 16:47:33.889008 -0.51758,1.22803,0.36621
03/24/20 16:47:33.898361 -0.38574,1.31812,0.41699
03/24/20 16:47:33.907703 -0.33643,1.44385,0.51929
03/24/20 16:47:33.917053 -0.21484,1.55542,0.55151
03/24/20 16:47:33.926403 -0.15405,1.45166,0.55054
03/24/20 16:47:33.935741 -0.07983,1.32642,0.42847
03/24/20 16:47:33.944828 0.07764,1.16968,0.29932
03/24/20 16:47:33.954159 0.15552,1.09961,0.26904
03/24/20 16:47:33.963493 0.21826,1.15894,0.27563
03/24/20 16:47:33.968849 0.19824,1.24609,0.33643
03/24/20 16:47:33.977921 0.13281,1.30469,0.33960
03/24/20 16:47:33.987225 0.12451,1.33838,0.35620
03/24/20 16:47:33.996532 0.11719,1.29688,0.31372
03/24/20 16:47:34.005852 0.12402,1.26880,0.25195
03/24/20 16:47:34.015167 0.12012,1.21387,0.20752
03/24/20 16:47:34.024487 0.19751,1.18359,0.20850
03/24/20 16:47:34.033813 0.27637,1.16357,0.18799
03/24/20 16:47:34.042889 0.28857,1.16821,0.13916
03/24/20 16:47:34.052212 0.26538,1.14746,0.08374
03/24/20 16:47:34.057571 0.22070,1.12109,0.04321
03/24/20 16:47:34.066895 0.25732,1.09692,-0.02808
03/24/20 16:47:34.075977 0.30127,1.09326,-0.07593
03/24/20 16:47:34.085308 0.27832,1.09058,-0.06885
03/24/20 16:47:34.094620 0.20923,1.10596,-0.04980
03/24/20 16:47:34.103935 0.15063,1.06519,-0.03687
03/24/20 16:47:34.113251 0.12866,0.97998,-0.03613
03/24/20 16:47:34.122566 0.01831,0.92944,-0.00342
03/24/20 16:47:34.131897 -0.09106,0.84302,0.02832
03/24/20 16:47:34.140972 -0.10034,0.85645,-0.01514
03/24/20 16:47:34.146332 -0.07373,0.85132,-0.01587
03/24/20 16:47:34.155655 -0.03784,0.83960,0.03662
03/24/20 16:47:34.164989 -0.04785,0.84229,0.06543
03/24/20 16:47:34.174324 -0.02539,0.83936,0.06494
03/24/20 16:47:34.183414 -0.04639,0.85449,0.05908
03/24/20 16:47:34.192741 -0.05664,0.84229,0.01343
03/24/20 16:47:34.202076 -0.06128,0.81787,0.02905
03/24/20 16:47:34.211407 -0.09033,0.94238,0.05029
03/24/20 16:47:34.220734 -0.00195,1.09058,0.02393
03/24/20 16:47:34.230049 0.04883,1.11401,0.04150
03/24/20 16:47:34.239849 0.07007,1.10254,0.04980
03/24/20 16:47:34.248924 0.01929,1.05225,0.03271
03/24/20 16:47:34.258251 -0.01514,1.02832,0.04395
03/24/20 16:47:34.267586 -0.02710,0.97583,0.04980
03/24/20 16:47:34.276909 -0.00854,0.92090,0.05981
03/24/20 16:47:34.286236 -0.02100,0.86108,0.05469
03/24/20 16:47:34.295567 -0.01807,0.81226,0.02686
03/24/20 16:47:34.304894 -0.00049,0.81641,0.01929
03/24/20 16:47:34.313965 0.07617,0.90186,0.01855
03/24/20 16:47:34.323288 0.06396,0.95117,0.01807
03/24/20 16:47:34.332615 -0.00098,0.91187,0.01294
03/24/20 16:47:34.337967 0.00122,0.90723,-0.00342
03/24/20 16:47:34.347034 0.01172,0.94458,-0.01660
03/24/20 16:47:34.356339 0.01025,1.01929,-0.02686
03/24/20 16:47:34.365627 0.03540,1.08740,-0.03174
