# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(OrientQuatX),%float(OrientQuatY),%float(OrientQuatZ),%float(OrientQuatW) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/10/20 14:40:42.176476 0.14166,-0.96433,-0.19250,-0.11378 -0.32199,0.90775,0.45893
03/10/20 14:40:42.185913 0.14134,-0.96496,-0.19188,-0.10980 -0.33558,0.89281,0.44709
03/10/20 14:40:42.195835 0.14128,-0.96553,-0.19127,-0.10591 -0.35445,0.88256,0.45542
03/10/20 14:40:42.205273 0.14140,-0.96605,-0.19049,-0.10236 -0.35207,0.90738,0.45272
03/10/20 14:40:42.214718 0.14167,-0.96652,-0.18962,-0.09909 -0.35370,0.90793,0.44978
03/10/20 14:40:42.223904 0.14223,-0.96689,-0.18886,-0.09605 -0.35403,0.91056,0.44164
03/10/20 14:40:42.233353 0.14293,-0.96722,-0.18801,-0.09336 -0.34316,0.89830,0.44241
03/10/20 14:40:42.242790 0.14365,-0.96753,-0.18712,-0.09077 -0.36281,0.90097,0.44301
03/10/20 14:40:42.252720 0.14458,-0.96781,-0.18611,-0.08829 -0.36104,0.89199,0.43914
03/10/20 14:40:42.262157 0.14538,-0.96806,-0.18515,-0.08624 -0.35252,0.88636,0.43914
03/10/20 14:40:42.271606 0.14608,-0.96830,-0.18419,-0.08443 -0.35567,0.89000,0.44060
03/10/20 14:40:42.281040 0.14670,-0.96854,-0.18318,-0.08278 -0.35982,0.91145,0.44585
03/10/20 14:40:42.290493 0.14714,-0.96877,-0.18225,-0.08140 -0.34798,0.91388,0.44698
03/10/20 14:40:42.299683 0.14733,-0.96895,-0.18160,-0.08026 -0.32739,0.91012,0.46263
03/10/20 14:40:42.309605 0.14725,-0.96914,-0.18109,-0.07929 -0.29498,0.92066,0.46356
03/10/20 14:40:42.319038 0.14697,-0.96933,-0.18067,-0.07846 -0.26704,0.93386,0.45490
03/10/20 14:40:42.328480 0.14655,-0.96950,-0.18045,-0.07767 -0.25298,0.92756,0.45191
03/10/20 14:40:42.337906 0.14594,-0.96964,-0.18053,-0.07684 -0.25791,0.90371,0.44404
03/10/20 14:40:42.347351 0.14447,-0.96980,-0.18124,-0.07588 -0.26241,0.87508,0.44186
03/10/20 14:40:42.356777 0.14149,-0.96995,-0.18348,-0.07419 -0.28363,0.85025,0.44493
03/10/20 14:40:42.366703 0.13934,-0.97004,-0.18547,-0.07217 -0.28570,0.85030,0.44248
03/10/20 14:40:42.375893 0.13807,-0.97014,-0.18640,-0.07078 -0.28687,0.87721,0.44471
03/10/20 14:40:42.385338 0.13774,-0.97024,-0.18640,-0.07020 -0.29536,0.88743,0.44787
03/10/20 14:40:42.394779 0.13756,-0.97030,-0.18632,-0.06989 -0.28339,0.89771,0.44844
03/10/20 14:40:42.404224 0.13745,-0.97034,-0.18625,-0.06978 -0.27314,0.90521,0.44240
03/10/20 14:40:42.413666 0.13739,-0.97033,-0.18635,-0.06975 -0.27559,0.89841,0.43952
03/10/20 14:40:42.423592 0.13707,-0.97030,-0.18677,-0.06964 -0.27073,0.88184,0.43521
03/10/20 14:40:42.433033 0.13531,-0.97039,-0.18786,-0.06883 -0.26686,0.86160,0.43094
03/10/20 14:40:42.442471 0.13359,-0.97039,-0.18953,-0.06767 -0.27188,0.84455,0.43703
03/10/20 14:40:42.451660 0.13202,-0.97038,-0.19102,-0.06670 -0.27658,0.86841,0.43291
03/10/20 14:40:42.461109 0.13057,-0.97039,-0.19225,-0.06584 -0.27268,0.86291,0.43786
03/10/20 14:40:42.470543 0.12940,-0.97034,-0.19361,-0.06483 -0.27598,0.85442,0.43353
03/10/20 14:40:42.480473 0.12857,-0.97026,-0.19477,-0.06432 -0.27883,0.86763,0.42383
03/10/20 14:40:42.489918 0.12828,-0.97018,-0.19526,-0.06451 -0.29115,0.88174,0.41714
03/10/20 14:40:42.499371 0.12828,-0.97008,-0.19563,-0.06488 -0.30909,0.87153,0.41242
03/10/20 14:40:42.508808 0.12875,-0.96991,-0.19618,-0.06484 -0.32170,0.85473,0.41856
03/10/20 14:40:42.518261 0.12911,-0.96971,-0.19683,-0.06522 -0.31676,0.86236,0.42830
03/10/20 14:40:42.527447 0.12925,-0.96951,-0.19765,-0.06539 -0.30720,0.85918,0.42802
03/10/20 14:40:42.537373 0.12922,-0.96930,-0.19858,-0.06582 -0.29949,0.85627,0.42702
03/10/20 14:40:42.546806 0.12931,-0.96908,-0.19941,-0.06640 -0.30785,0.85827,0.42484
03/10/20 14:40:42.556252 0.12957,-0.96880,-0.20040,-0.06694 -0.30578,0.84210,0.43579
03/10/20 14:40:42.565693 0.12974,-0.96852,-0.20147,-0.06746 -0.30703,0.84438,0.43234
03/10/20 14:40:42.575142 0.12992,-0.96826,-0.20234,-0.06818 -0.30167,0.83759,0.42941
03/10/20 14:40:42.584576 0.12974,-0.96807,-0.20317,-0.06883 -0.29010,0.85157,0.42897
03/10/20 14:40:42.594505 0.12952,-0.96788,-0.20365,-0.07045 -0.28436,0.88368,0.42938
03/10/20 14:40:42.603691 0.12930,-0.96767,-0.20409,-0.07245 -0.26834,0.87428,0.43379
03/10/20 14:40:42.613140 0.12895,-0.96745,-0.20464,-0.07437 -0.26600,0.87880,0.42857
03/10/20 14:40:42.622582 0.12877,-0.96721,-0.20512,-0.07655 -0.26105,0.88164,0.42261
03/10/20 14:40:42.632023 0.12836,-0.96702,-0.20550,-0.07855 -0.26987,0.85178,0.42023
03/10/20 14:40:42.641453 0.12810,-0.96680,-0.20593,-0.08053 -0.27263,0.85729,0.41478
03/10/20 14:40:42.651379 0.12783,-0.96654,-0.20640,-0.08286 -0.26706,0.85106,0.40840
03/10/20 14:40:42.660812 0.12764,-0.96625,-0.20696,-0.08511 -0.26105,0.82896,0.41053
03/10/20 14:40:42.670013 0.12746,-0.96577,-0.20822,-0.08763 -0.25949,0.78182,0.42571
03/10/20 14:40:42.679455 0.12717,-0.96527,-0.20963,-0.09021 -0.26168,0.74702,0.43637
03/10/20 14:40:42.688896 0.12678,-0.96480,-0.21089,-0.09285 -0.25239,0.74434,0.44741
03/10/20 14:40:42.698338 0.12636,-0.96437,-0.21189,-0.09556 -0.25130,0.76152,0.44601
03/10/20 14:40:42.708271 0.12598,-0.96394,-0.21278,-0.09835 -0.24469,0.78907,0.45311
03/10/20 14:40:42.717701 0.12589,-0.96350,-0.21411,-0.09984 -0.23682,0.80877,0.45977
03/10/20 14:40:42.727142 0.12547,-0.96317,-0.21510,-0.10148 -0.21866,0.82473,0.45902
03/10/20 14:40:42.736580 0.12503,-0.96290,-0.21579,-0.10312 -0.21829,0.83705,0.46727
03/10/20 14:40:42.745773 0.12510,-0.96261,-0.21621,-0.10485 -0.23235,0.85394,0.46770
03/10/20 14:40:42.755219 0.12559,-0.96222,-0.21612,-0.10797 -0.23628,0.89172,0.46591
03/10/20 14:40:42.765152 0.12627,-0.96180,-0.21578,-0.11155 -0.24611,0.91684,0.47116
03/10/20 14:40:42.774593 0.12706,-0.96136,-0.21534,-0.11517 -0.22275,0.95070,0.47021
03/10/20 14:40:42.784054 0.12804,-0.96087,-0.21481,-0.11913 -0.18993,0.97764,0.48329
03/10/20 14:40:42.793495 0.12936,-0.96033,-0.21422,-0.12308 -0.17469,0.99726,0.48326
03/10/20 14:40:42.802940 0.13114,-0.95969,-0.21367,-0.12707 -0.17294,0.99967,0.47388
03/10/20 14:40:42.812374 0.13333,-0.95896,-0.21320,-0.13098 -0.19479,1.00028,0.46786
03/10/20 14:40:42.822052 0.13611,-0.95811,-0.21270,-0.13513 -0.23105,0.99944,0.46048
03/10/20 14:40:42.831493 0.13897,-0.95718,-0.21241,-0.13922 -0.23958,0.96282,0.46480
03/10/20 14:40:42.840939 0.14178,-0.95617,-0.21232,-0.14339 -0.26805,0.94621,0.46144
03/10/20 14:40:42.850380 0.14438,-0.95516,-0.21221,-0.14765 -0.26662,0.96685,0.44795
03/10/20 14:40:42.859841 0.14664,-0.95415,-0.21211,-0.15201 -0.25701,0.97328,0.44562
03/10/20 14:40:42.869289 0.14877,-0.95307,-0.21209,-0.15668 -0.24989,0.98364,0.45385
03/10/20 14:40:42.879231 0.15091,-0.95187,-0.21208,-0.16182 -0.23404,0.99998,0.44720
03/10/20 14:40:42.888683 0.15295,-0.95064,-0.21218,-0.16692 -0.21923,0.99232,0.45013
03/10/20 14:40:42.897884 0.15496,-0.94932,-0.21243,-0.17218 -0.20477,0.98192,0.45555
03/10/20 14:40:42.907330 0.15690,-0.94795,-0.21273,-0.17755 -0.18152,0.98101,0.45295
03/10/20 14:40:42.916779 0.15888,-0.94650,-0.21309,-0.18299 -0.16827,0.96708,0.45151
03/10/20 14:40:42.926216 0.16103,-0.94503,-0.21344,-0.18824 -0.15867,0.92019,0.45532
03/10/20 14:40:42.936142 0.16372,-0.94397,-0.21207,-0.19273 -0.19151,0.88293,0.44380
03/10/20 14:40:42.945572 0.16680,-0.94325,-0.20991,-0.19596 -0.21213,0.84446,0.44281
03/10/20 14:40:42.955017 0.17052,-0.94218,-0.20864,-0.19924 -0.23745,0.80811,0.44526
03/10/20 14:40:42.964455 0.17463,-0.94087,-0.20807,-0.20244 -0.24078,0.80506,0.45048
03/10/20 14:40:42.973648 0.17850,-0.93949,-0.20791,-0.20561 -0.21544,0.81933,0.45954
03/10/20 14:40:42.983074 0.18181,-0.93812,-0.20808,-0.20873 -0.18374,0.84084,0.46308
03/10/20 14:40:42.993046 0.18460,-0.93678,-0.20827,-0.21213 -0.15983,0.88315,0.45713
03/10/20 14:40:43.002487 0.18688,-0.93548,-0.20842,-0.21568 -0.13430,0.88266,0.45747
03/10/20 14:40:43.011940 0.18951,-0.93427,-0.20853,-0.21849 -0.12203,0.87518,0.46361
03/10/20 14:40:43.021378 0.19226,-0.93306,-0.20847,-0.22131 -0.12127,0.88986,0.45388
03/10/20 14:40:43.030830 0.19508,-0.93188,-0.20820,-0.22404 -0.13299,0.88987,0.45297
03/10/20 14:40:43.040028 0.19743,-0.93035,-0.20813,-0.22837 -0.14185,0.90331,0.45438
03/10/20 14:40:43.049950 0.20034,-0.92895,-0.20773,-0.23186 -0.12842,0.89569,0.45584
03/10/20 14:40:43.059391 0.20281,-0.92725,-0.20754,-0.23664 -0.14410,0.91851,0.44343
03/10/20 14:40:43.068844 0.20537,-0.92552,-0.20733,-0.24135 -0.15326,0.91273,0.43813
03/10/20 14:40:43.078285 0.20814,-0.92425,-0.20683,-0.24424 -0.15904,0.88159,0.43894
03/10/20 14:40:43.087738 0.21074,-0.92325,-0.20634,-0.24621 -0.17455,0.87928,0.43217
03/10/20 14:40:43.097191 0.21309,-0.92226,-0.20592,-0.24825 -0.17458,0.88033,0.41789
03/10/20 14:40:43.107136 0.21528,-0.92117,-0.20558,-0.25069 -0.15757,0.89643,0.41075
03/10/20 14:40:43.116589 0.21734,-0.92007,-0.20526,-0.25318 -0.15709,0.90633,0.41754
03/10/20 14:40:43.125805 0.21958,-0.91877,-0.20513,-0.25604 -0.14486,0.88904,0.42377
03/10/20 14:40:43.135262 0.22205,-0.91723,-0.20521,-0.25937 -0.15849,0.87500,0.41537
03/10/20 14:40:43.144730 0.22503,-0.91520,-0.20565,-0.26357 -0.18538,0.83232,0.42749
03/10/20 14:40:43.154182 0.22741,-0.91289,-0.20668,-0.26871 -0.16101,0.80537,0.42758
03/10/20 14:40:43.164124 0.22915,-0.91055,-0.20800,-0.27409 -0.15337,0.77715,0.44033
03/10/20 14:40:43.173576 0.23052,-0.90825,-0.20943,-0.27942 -0.13402,0.80224,0.44810
03/10/20 14:40:43.183037 0.23142,-0.90599,-0.21095,-0.28484 -0.09686,0.79363,0.43958
03/10/20 14:40:43.192238 0.23203,-0.90375,-0.21259,-0.29018 -0.06160,0.78596,0.44410
03/10/20 14:40:43.201695 0.23261,-0.90154,-0.21413,-0.29540 -0.06993,0.77620,0.45260
03/10/20 14:40:43.211144 0.23319,-0.89932,-0.21555,-0.30065 -0.06484,0.77488,0.46833
03/10/20 14:40:43.221069 0.23377,-0.89693,-0.21702,-0.30621 -0.04129,0.76145,0.47765
03/10/20 14:40:43.230511 0.23437,-0.89468,-0.21828,-0.31141 -0.06194,0.76011,0.49354
03/10/20 14:40:43.239948 0.23498,-0.89222,-0.21991,-0.31682 -0.09236,0.78245,0.51321
03/10/20 14:40:43.249390 0.23568,-0.88903,-0.22246,-0.32339 -0.09689,0.79195,0.50455
03/10/20 14:40:43.258846 0.23661,-0.88646,-0.22367,-0.32891 -0.10965,0.77879,0.50056
03/10/20 14:40:43.268047 0.23760,-0.88362,-0.22492,-0.33494 -0.12738,0.79046,0.49319
03/10/20 14:40:43.277985 0.23854,-0.88039,-0.22603,-0.34193 -0.12141,0.79632,0.48326
03/10/20 14:40:43.287434 0.23938,-0.87739,-0.22679,-0.34849 -0.11977,0.80100,0.48222
03/10/20 14:40:43.296894 0.24053,-0.87463,-0.22706,-0.35443 -0.12362,0.78390,0.47994
03/10/20 14:40:43.306347 0.24190,-0.87198,-0.22704,-0.35998 -0.14184,0.77442,0.48654
03/10/20 14:40:43.315800 0.24322,-0.86939,-0.22696,-0.36538 -0.15066,0.77089,0.49081
03/10/20 14:40:43.325245 0.24436,-0.86666,-0.22689,-0.37108 -0.14791,0.77647,0.49369
03/10/20 14:40:43.335190 0.24506,-0.86353,-0.22710,-0.37774 -0.12661,0.78835,0.50009
03/10/20 14:40:43.344383 0.24395,-0.85884,-0.22891,-0.38792 -0.11115,0.82409,0.50263
03/10/20 14:40:43.353836 0.24290,-0.85452,-0.22981,-0.39748 -0.10750,0.83541,0.50029
03/10/20 14:40:43.363277 0.24210,-0.85043,-0.23026,-0.40636 -0.10010,0.83447,0.49877
03/10/20 14:40:43.372734 0.24158,-0.84654,-0.23040,-0.41464 -0.09543,0.82783,0.48896
03/10/20 14:40:43.382664 0.24133,-0.84273,-0.23011,-0.42264 -0.10170,0.83490,0.47934
03/10/20 14:40:43.392120 0.24114,-0.83927,-0.22966,-0.42981 -0.10135,0.82683,0.47843
03/10/20 14:40:43.401562 0.24105,-0.83589,-0.22907,-0.43671 -0.09873,0.83558,0.47095
03/10/20 14:40:43.411015 0.24111,-0.83265,-0.22833,-0.44320 -0.12507,0.81767,0.47079
03/10/20 14:40:43.420212 0.24192,-0.82996,-0.22769,-0.44810 -0.14255,0.79630,0.48364
03/10/20 14:40:43.429665 0.24251,-0.82730,-0.22717,-0.45295 -0.12769,0.78701,0.49421
03/10/20 14:40:43.439590 0.24286,-0.82453,-0.22672,-0.45800 -0.11119,0.78794,0.49705
03/10/20 14:40:43.449047 0.24299,-0.82183,-0.22629,-0.46297 -0.08428,0.79787,0.50294
03/10/20 14:40:43.458492 0.24288,-0.81901,-0.22564,-0.46831 -0.05565,0.80558,0.49875
03/10/20 14:40:43.467949 0.24300,-0.81637,-0.22489,-0.47320 -0.04765,0.80139,0.49997
03/10/20 14:40:43.477398 0.24326,-0.81376,-0.22386,-0.47803 -0.05909,0.81113,0.49159
03/10/20 14:40:43.486855 0.24375,-0.81118,-0.22273,-0.48266 -0.06454,0.80985,0.48278
03/10/20 14:40:43.496532 0.24429,-0.80853,-0.22142,-0.48742 -0.07562,0.81067,0.48997
03/10/20 14:40:43.505989 0.24490,-0.80598,-0.22024,-0.49184 -0.07670,0.79873,0.48664
03/10/20 14:40:43.515438 0.24544,-0.80345,-0.21910,-0.49621 -0.07378,0.80033,0.48095
03/10/20 14:40:43.524887 0.24573,-0.80125,-0.21767,-0.50023 -0.07395,0.83602,0.48481
03/10/20 14:40:43.534332 0.24602,-0.79915,-0.21632,-0.50403 -0.06217,0.83986,0.48913
03/10/20 14:40:43.543789 0.24636,-0.79698,-0.21519,-0.50776 -0.04818,0.82974,0.49283
03/10/20 14:40:43.553711 0.24666,-0.79475,-0.21427,-0.51149 -0.03748,0.82139,0.49382
03/10/20 14:40:43.563164 0.24686,-0.79276,-0.21350,-0.51479 -0.04589,0.84100,0.48238
03/10/20 14:40:43.572361 0.24698,-0.79086,-0.21283,-0.51793 -0.03263,0.83197,0.48114
03/10/20 14:40:43.581818 0.24705,-0.78903,-0.21231,-0.52089 -0.04900,0.83860,0.47996
03/10/20 14:40:43.591263 0.24708,-0.78733,-0.21175,-0.52367 -0.05813,0.84262,0.47506
03/10/20 14:40:43.600716 0.24710,-0.78566,-0.21129,-0.52635 -0.05864,0.82250,0.47623
03/10/20 14:40:43.610638 0.24702,-0.78395,-0.21080,-0.52912 -0.05186,0.84114,0.47602
03/10/20 14:40:43.620090 0.24685,-0.78249,-0.21030,-0.53156 -0.03711,0.87701,0.48347
03/10/20 14:40:43.629536 0.24669,-0.78088,-0.20977,-0.53420 -0.02720,0.88118,0.49469
03/10/20 14:40:43.638996 0.24646,-0.77874,-0.20909,-0.53768 -0.00709,0.88893,0.49941
03/10/20 14:40:43.648190 0.24624,-0.77654,-0.20840,-0.54123 -0.00998,0.89721,0.50157
03/10/20 14:40:43.657646 0.24601,-0.77435,-0.20771,-0.54472 -0.00919,0.91086,0.50489
03/10/20 14:40:43.667576 0.24581,-0.77211,-0.20728,-0.54814 0.00172,0.89229,0.50277
03/10/20 14:40:43.677017 0.24565,-0.77008,-0.20712,-0.55112 0.00515,0.88740,0.50255
03/10/20 14:40:43.686455 0.24535,-0.76812,-0.20713,-0.55398 0.02452,0.90177,0.50697
03/10/20 14:40:43.695885 0.24495,-0.76613,-0.20723,-0.55687 0.02879,0.90397,0.50742
03/10/20 14:40:43.705322 0.24464,-0.76430,-0.20761,-0.55937 0.02578,0.88908,0.49379
03/10/20 14:40:43.714504 0.24438,-0.76262,-0.20823,-0.56155 0.00892,0.88556,0.49688
03/10/20 14:40:43.724423 0.24420,-0.76130,-0.20985,-0.56280 -0.02028,0.86527,0.48298
03/10/20 14:40:43.733849 0.24413,-0.76016,-0.21139,-0.56380 -0.03366,0.84030,0.47000
03/10/20 14:40:43.743279 0.24403,-0.75909,-0.21283,-0.56475 -0.04944,0.83335,0.46229
03/10/20 14:40:43.752708 0.24381,-0.75805,-0.21411,-0.56574 -0.06647,0.85546,0.45974
03/10/20 14:40:43.762150 0.24354,-0.75704,-0.21532,-0.56676 -0.06138,0.84379,0.46646
03/10/20 14:40:43.771572 0.24306,-0.75595,-0.21658,-0.56794 -0.01667,0.86133,0.48373
03/10/20 14:40:43.781498 0.24234,-0.75402,-0.21675,-0.57075 0.02200,0.91249,0.49877
03/10/20 14:40:43.790672 0.24185,-0.75209,-0.21658,-0.57355 0.03991,0.91765,0.50968
03/10/20 14:40:43.800106 0.24173,-0.75019,-0.21639,-0.57616 0.05033,0.90014,0.50412
03/10/20 14:40:43.809536 0.24190,-0.74840,-0.21611,-0.57852 0.04772,0.88568,0.51484
03/10/20 14:40:43.818966 0.24221,-0.74675,-0.21550,-0.58074 0.01825,0.89771,0.51295
03/10/20 14:40:43.828388 0.24260,-0.74529,-0.21491,-0.58267 -0.01234,0.89325,0.50334
03/10/20 14:40:43.838303 0.24288,-0.74426,-0.21524,-0.58375 -0.02262,0.87613,0.50160
03/10/20 14:40:43.847729 0.24298,-0.74361,-0.21626,-0.58415 -0.03067,0.86016,0.50277
03/10/20 14:40:43.857155 0.24282,-0.74300,-0.21736,-0.58458 -0.01540,0.87402,0.49714
03/10/20 14:40:43.866341 0.24261,-0.74166,-0.21740,-0.58636 -0.01292,0.90180,0.49343
03/10/20 14:40:43.875778 0.24249,-0.74027,-0.21730,-0.58820 -0.00319,0.89977,0.49708
03/10/20 14:40:43.885212 0.24249,-0.73886,-0.21716,-0.59002 -0.00423,0.89179,0.50331
03/10/20 14:40:43.895126 0.24263,-0.73747,-0.21696,-0.59177 -0.01032,0.88946,0.49746
03/10/20 14:40:43.904556 0.24286,-0.73690,-0.21766,-0.59214 0.00220,0.87631,0.49406
03/10/20 14:40:43.913982 0.24304,-0.73637,-0.21850,-0.59241 0.00757,0.84794,0.49132
03/10/20 14:40:43.923412 0.24312,-0.73589,-0.21945,-0.59263 0.00702,0.84491,0.48447
03/10/20 14:40:43.932838 0.24307,-0.73546,-0.22040,-0.59282 -0.00010,0.85554,0.47999
03/10/20 14:40:43.942001 0.24296,-0.73506,-0.22145,-0.59298 -0.00682,0.84611,0.48504
03/10/20 14:40:43.951893 0.24279,-0.73456,-0.22274,-0.59318 -0.00590,0.84050,0.49492
03/10/20 14:40:43.961304 0.24254,-0.73412,-0.22402,-0.59334 0.00550,0.83680,0.50768
03/10/20 14:40:43.970722 0.24226,-0.73367,-0.22521,-0.59356 0.01641,0.80211,0.51382
03/10/20 14:40:43.980137 0.24205,-0.73328,-0.22621,-0.59375 0.01556,0.81131,0.50784
03/10/20 14:40:43.989540 0.24181,-0.73300,-0.22685,-0.59395 0.00346,0.83122,0.49396
03/10/20 14:40:43.998962 0.24164,-0.73277,-0.22728,-0.59415 -0.00940,0.81501,0.49517
03/10/20 14:40:44.008865 0.24171,-0.73190,-0.22729,-0.59518 -0.00631,0.80181,0.50462
03/10/20 14:40:44.018024 0.24159,-0.73160,-0.22737,-0.59556 -0.00001,0.81002,0.51041
03/10/20 14:40:44.027451 0.24144,-0.73130,-0.22737,-0.59599 0.00404,0.81747,0.50589
03/10/20 14:40:44.036861 0.24124,-0.73105,-0.22728,-0.59642 -0.00877,0.83199,0.50289
03/10/20 14:40:44.046284 0.24107,-0.73077,-0.22727,-0.59683 -0.01765,0.83532,0.50734
03/10/20 14:40:44.055702 0.24088,-0.73052,-0.22738,-0.59717 -0.01926,0.81933,0.50996
03/10/20 14:40:44.065601 0.24056,-0.73015,-0.22727,-0.59779 -0.00333,0.88195,0.49355
03/10/20 14:40:44.075020 0.24022,-0.72989,-0.22709,-0.59832 -0.02115,0.84753,0.49791
03/10/20 14:40:44.084183 0.23972,-0.72975,-0.22726,-0.59863 -0.00025,0.86357,0.50501
03/10/20 14:40:44.093601 0.23926,-0.72955,-0.22746,-0.59898 0.01020,0.86622,0.50738
03/10/20 14:40:44.103016 0.23892,-0.72913,-0.22752,-0.59961 0.02442,0.87747,0.50891
03/10/20 14:40:44.112438 0.23870,-0.72864,-0.22744,-0.60032 0.02530,0.86199,0.52184
03/10/20 14:40:44.122345 0.23846,-0.72854,-0.22760,-0.60047 0.02861,0.83850,0.51982
03/10/20 14:40:44.131760 0.23828,-0.72861,-0.22771,-0.60042 0.00561,0.84446,0.51597
03/10/20 14:40:44.141182 0.23804,-0.72878,-0.22767,-0.60032 0.00357,0.84976,0.49773
03/10/20 14:40:44.150600 0.23778,-0.72895,-0.22765,-0.60022 0.00068,0.84189,0.51012
03/10/20 14:40:44.159775 0.23763,-0.72898,-0.22737,-0.60035 -0.01047,0.88242,0.49457
03/10/20 14:40:44.169189 0.23739,-0.72885,-0.22688,-0.60079 -0.01081,0.88992,0.49894
03/10/20 14:40:44.179089 0.23720,-0.72856,-0.22636,-0.60142 0.01017,0.91489,0.50055
03/10/20 14:40:44.188499 0.23717,-0.72821,-0.22574,-0.60209 0.00351,0.89855,0.50787
03/10/20 14:40:44.197922 0.23713,-0.72794,-0.22532,-0.60258 -0.00034,0.89789,0.49339
03/10/20 14:40:44.207340 0.23715,-0.72792,-0.22551,-0.60253 0.00587,0.88165,0.49669
03/10/20 14:40:44.216751 0.23719,-0.72784,-0.22556,-0.60259 0.00017,0.88069,0.49551
03/10/20 14:40:44.225922 0.23714,-0.72794,-0.22587,-0.60236 0.00180,0.88024,0.49353
03/10/20 14:40:44.235821 0.23704,-0.72811,-0.22629,-0.60204 0.00204,0.87455,0.49604
03/10/20 14:40:44.245235 0.23698,-0.72830,-0.22659,-0.60173 -0.02021,0.85211,0.50180
03/10/20 14:40:44.254639 0.23674,-0.72852,-0.22690,-0.60143 -0.02595,0.86303,0.49534
03/10/20 14:40:44.264046 0.23642,-0.72867,-0.22713,-0.60130 -0.03010,0.86872,0.49285
03/10/20 14:40:44.273449 0.23610,-0.72873,-0.22732,-0.60128 -0.03278,0.86171,0.48801
03/10/20 14:40:44.282860 0.23576,-0.72874,-0.22737,-0.60138 -0.04376,0.85542,0.48396
03/10/20 14:40:44.292740 0.23548,-0.72866,-0.22721,-0.60164 -0.04486,0.85399,0.49357
03/10/20 14:40:44.301907 0.23531,-0.72852,-0.22691,-0.60199 -0.05038,0.88100,0.48008
03/10/20 14:40:44.311306 0.23508,-0.72836,-0.22664,-0.60238 -0.04809,0.88132,0.47662
03/10/20 14:40:44.320721 0.23483,-0.72812,-0.22643,-0.60285 -0.04291,0.86212,0.49152
03/10/20 14:40:44.330132 0.23474,-0.72788,-0.22604,-0.60332 -0.03913,0.89154,0.49123
03/10/20 14:40:44.339550 0.23457,-0.72757,-0.22576,-0.60387 -0.04649,0.88101,0.49039
03/10/20 14:40:44.349438 0.23449,-0.72737,-0.22533,-0.60429 -0.04979,0.91494,0.48543
03/10/20 14:40:44.358860 0.23450,-0.72723,-0.22480,-0.60466 -0.06826,0.90084,0.49084
03/10/20 14:40:44.368271 0.23443,-0.72701,-0.22453,-0.60505 -0.06088,0.88964,0.48769
03/10/20 14:40:44.377445 0.23428,-0.72669,-0.22451,-0.60550 -0.05166,0.88330,0.49778
03/10/20 14:40:44.386856 0.23407,-0.72623,-0.22444,-0.60616 -0.04532,0.88043,0.49481
03/10/20 14:40:44.396275 0.23394,-0.72575,-0.22421,-0.60687 -0.03871,0.88701,0.49668
03/10/20 14:40:44.406170 0.23395,-0.72523,-0.22370,-0.60767 -0.05841,0.85376,0.49218
03/10/20 14:40:44.415596 0.23394,-0.72452,-0.22316,-0.60872 -0.03311,0.85873,0.49001
03/10/20 14:40:44.425015 0.23408,-0.72381,-0.22230,-0.60983 -0.05703,0.88028,0.49021
03/10/20 14:40:44.434444 0.23427,-0.72339,-0.22122,-0.61064 -0.06717,0.88663,0.47964
03/10/20 14:40:44.443867 0.23449,-0.72318,-0.22025,-0.61116 -0.06396,0.90275,0.48218
03/10/20 14:40:44.453056 0.23477,-0.72277,-0.21945,-0.61182 -0.06765,0.89251,0.47959
03/10/20 14:40:44.462955 0.23506,-0.72167,-0.21869,-0.61328 -0.06675,0.88817,0.46560
03/10/20 14:40:44.472385 0.23558,-0.72065,-0.21807,-0.61450 -0.07559,0.89600,0.46559
03/10/20 14:40:44.481812 0.23626,-0.71978,-0.21747,-0.61547 -0.08889,0.89533,0.46248
03/10/20 14:40:44.491241 0.23692,-0.71843,-0.21672,-0.61706 -0.07770,0.88070,0.47041
03/10/20 14:40:44.500664 0.23782,-0.71692,-0.21606,-0.61869 -0.06989,0.87016,0.47095
03/10/20 14:40:44.510101 0.23878,-0.71542,-0.21532,-0.62032 -0.02882,0.86593,0.48598
03/10/20 14:40:44.520012 0.24002,-0.71389,-0.21438,-0.62192 -0.05629,0.83606,0.50611
03/10/20 14:40:44.529202 0.24125,-0.71260,-0.21346,-0.62324 -0.04929,0.85561,0.48645
03/10/20 14:40:44.538631 0.24229,-0.71153,-0.21260,-0.62436 -0.07769,0.86979,0.47592
03/10/20 14:40:44.548084 0.24333,-0.71054,-0.21186,-0.62533 -0.07684,0.86069,0.47748
