# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(OrientQuatX),%float(OrientQuatY),%float(OrientQuatZ),%float(OrientQuatW) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/10/20 14:40:38.438103 0.26206,-0.67493,-0.24669,-0.64416 -0.03491,0.81915,0.52876
03/10/20 14:40:38.447987 0.26251,-0.67418,-0.24562,-0.64517 -0.02823,0.79766,0.52522
03/10/20 14:40:38.457401 0.26267,-0.67382,-0.24500,-0.64571 -0.04069,0.77757,0.52449
03/10/20 14:40:38.466808 0.26284,-0.67353,-0.24421,-0.64624 -0.03751,0.77870,0.51782
03/10/20 14:40:38.476212 0.26307,-0.67322,-0.24317,-0.64687 -0.05834,0.77648,0.52929
03/10/20 14:40:38.485619 0.26353,-0.67275,-0.24187,-0.64765 -0.09124,0.77720,0.52875
03/10/20 14:40:38.495026 0.26415,-0.67215,-0.24046,-0.64855 -0.09713,0.77516,0.53201
03/10/20 14:40:38.504913 0.26413,-0.67181,-0.23934,-0.64933 -0.08466,0.76394,0.50792
03/10/20 14:40:38.514092 0.26398,-0.67149,-0.23824,-0.65012 -0.09504,0.76003,0.49597
03/10/20 14:40:38.523510 0.26372,-0.67110,-0.23691,-0.65112 -0.09085,0.78012,0.49650
03/10/20 14:40:38.532932 0.26470,-0.66992,-0.23475,-0.65271 -0.08529,0.82153,0.49707
03/10/20 14:40:38.542355 0.26539,-0.66880,-0.23263,-0.65434 -0.08060,0.86217,0.48807
03/10/20 14:40:38.551785 0.26492,-0.66827,-0.23099,-0.65565 -0.07881,0.90601,0.47856
03/10/20 14:40:38.561688 0.26389,-0.66791,-0.22940,-0.65699 -0.09055,0.95471,0.47032
03/10/20 14:40:38.571121 0.26293,-0.66750,-0.22783,-0.65834 -0.10608,0.96858,0.46316
03/10/20 14:40:38.580551 0.26208,-0.66698,-0.22619,-0.65976 -0.11838,0.99254,0.46548
03/10/20 14:40:38.589745 0.26115,-0.66638,-0.22435,-0.66137 -0.12405,1.03324,0.46466
03/10/20 14:40:38.599182 0.26030,-0.66561,-0.22239,-0.66313 -0.12265,1.06447,0.47101
03/10/20 14:40:38.608624 0.25960,-0.66469,-0.22053,-0.66496 -0.12272,1.08223,0.46593
03/10/20 14:40:38.618534 0.25903,-0.66355,-0.21873,-0.66691 -0.11033,1.09379,0.45345
03/10/20 14:40:38.627976 0.25865,-0.66231,-0.21726,-0.66876 -0.10065,1.10349,0.45822
03/10/20 14:40:38.637405 0.25855,-0.66086,-0.21603,-0.67063 -0.09467,1.10360,0.45326
03/10/20 14:40:38.646851 0.25868,-0.65930,-0.21511,-0.67241 -0.09422,1.09839,0.45626
03/10/20 14:40:38.656284 0.25902,-0.65763,-0.21460,-0.67407 -0.09190,1.06613,0.45210
03/10/20 14:40:38.665474 0.25956,-0.65583,-0.21457,-0.67563 -0.09463,1.03888,0.45433
03/10/20 14:40:38.675388 0.26028,-0.65378,-0.21504,-0.67719 -0.09531,1.00161,0.45517
03/10/20 14:40:38.684822 0.26102,-0.65175,-0.21579,-0.67863 -0.09302,0.96963,0.46036
03/10/20 14:40:38.694248 0.26182,-0.64962,-0.21646,-0.68014 -0.07922,0.93750,0.46179
03/10/20 14:40:38.703693 0.26219,-0.64777,-0.21609,-0.68188 -0.08432,0.90666,0.45989
03/10/20 14:40:38.713123 0.26061,-0.64695,-0.21134,-0.68474 -0.08326,0.88214,0.46035
03/10/20 14:40:38.722565 0.25973,-0.64578,-0.20743,-0.68738 -0.09042,0.85679,0.45398
03/10/20 14:40:38.732479 0.25933,-0.64425,-0.20412,-0.68995 -0.09453,0.85600,0.45647
03/10/20 14:40:38.741673 0.25912,-0.64272,-0.20125,-0.69229 -0.10032,0.84103,0.45713
03/10/20 14:40:38.751102 0.25958,-0.64079,-0.19983,-0.69432 -0.08921,0.82344,0.45476
03/10/20 14:40:38.760552 0.26046,-0.63850,-0.19945,-0.69620 -0.09086,0.81903,0.45481
03/10/20 14:40:38.769981 0.26081,-0.63658,-0.19790,-0.69827 -0.08963,0.82748,0.46063
03/10/20 14:40:38.779423 0.26076,-0.63503,-0.19530,-0.70042 -0.09094,0.83153,0.45470
03/10/20 14:40:38.789333 0.26086,-0.63324,-0.19295,-0.70266 -0.08708,0.83249,0.45565
03/10/20 14:40:38.798782 0.26095,-0.63156,-0.19086,-0.70471 -0.09265,0.83404,0.45223
03/10/20 14:40:38.807980 0.26143,-0.62939,-0.18997,-0.70671 -0.09021,0.82514,0.45574
03/10/20 14:40:38.817432 0.26175,-0.62735,-0.18885,-0.70870 -0.08125,0.81989,0.46040
03/10/20 14:40:38.826874 0.26220,-0.62513,-0.18819,-0.71067 -0.07705,0.81850,0.45719
03/10/20 14:40:38.836323 0.26272,-0.62275,-0.18770,-0.71269 -0.07630,0.81707,0.45523
03/10/20 14:40:38.846237 0.26300,-0.62079,-0.18626,-0.71468 -0.09159,0.83064,0.45078
03/10/20 14:40:38.855682 0.26306,-0.61946,-0.18429,-0.71631 -0.10419,0.85137,0.44378
03/10/20 14:40:38.865116 0.26315,-0.61798,-0.18254,-0.71801 -0.10889,0.85931,0.43931
03/10/20 14:40:38.874561 0.26326,-0.61635,-0.18105,-0.71974 -0.09419,0.85926,0.44217
03/10/20 14:40:38.883751 0.26334,-0.61467,-0.17978,-0.72146 -0.08275,0.87633,0.44637
03/10/20 14:40:38.893196 0.26342,-0.61297,-0.17873,-0.72314 -0.07043,0.89423,0.44613
03/10/20 14:40:38.903114 0.26352,-0.61108,-0.17793,-0.72490 -0.06681,0.89530,0.45348
03/10/20 14:40:38.912559 0.26364,-0.60936,-0.17735,-0.72644 -0.06451,0.89489,0.46110
03/10/20 14:40:38.921993 0.26374,-0.60767,-0.17697,-0.72792 -0.05147,0.88595,0.45544
03/10/20 14:40:38.931442 0.26385,-0.60605,-0.17676,-0.72928 -0.04174,0.87874,0.46036
03/10/20 14:40:38.940880 0.26394,-0.60435,-0.17670,-0.73067 -0.03446,0.88543,0.46862
03/10/20 14:40:38.950329 0.26400,-0.60266,-0.17673,-0.73203 -0.02877,0.86542,0.46483
03/10/20 14:40:38.959995 0.26406,-0.60080,-0.17701,-0.73347 -0.02207,0.86961,0.47508
03/10/20 14:40:38.969452 0.26400,-0.59907,-0.17751,-0.73478 -0.00620,0.87978,0.48079
03/10/20 14:40:38.978909 0.26399,-0.59698,-0.17839,-0.73628 0.00840,0.88720,0.48949
03/10/20 14:40:38.988373 0.26385,-0.59521,-0.17970,-0.73744 0.01571,0.87755,0.49396
03/10/20 14:40:38.997879 0.26376,-0.59362,-0.18123,-0.73838 0.01803,0.86132,0.48523
03/10/20 14:40:39.007328 0.26380,-0.59203,-0.18273,-0.73927 0.00521,0.84452,0.48005
03/10/20 14:40:39.017265 0.26397,-0.59042,-0.18425,-0.74012 0.00612,0.83941,0.47812
03/10/20 14:40:39.026722 0.26414,-0.58898,-0.18587,-0.74080 0.00957,0.83401,0.47864
03/10/20 14:40:39.035923 0.26428,-0.58754,-0.18769,-0.74144 0.02012,0.83438,0.48423
03/10/20 14:40:39.045353 0.26439,-0.58618,-0.18957,-0.74199 0.02012,0.82908,0.48034
03/10/20 14:40:39.054798 0.26469,-0.58460,-0.19119,-0.74272 0.01504,0.81936,0.47628
03/10/20 14:40:39.064247 0.26541,-0.58194,-0.19201,-0.74434 0.00856,0.78838,0.48054
03/10/20 14:40:39.074177 0.26626,-0.57909,-0.19269,-0.74607 0.00233,0.77345,0.46866
03/10/20 14:40:39.083611 0.26696,-0.57652,-0.19326,-0.74766 0.00224,0.78069,0.47376
03/10/20 14:40:39.093048 0.26756,-0.57396,-0.19386,-0.74927 0.01049,0.78562,0.49482
03/10/20 14:40:39.102489 0.26805,-0.57156,-0.19464,-0.75072 0.03441,0.78442,0.51633
03/10/20 14:40:39.111683 0.26835,-0.57047,-0.19705,-0.75082 0.05678,0.80369,0.52143
03/10/20 14:40:39.121109 0.26842,-0.56948,-0.19967,-0.75085 0.06246,0.82602,0.53103
03/10/20 14:40:39.131023 0.26854,-0.56851,-0.20205,-0.75091 0.06350,0.82830,0.53888
03/10/20 14:40:39.140457 0.26863,-0.56790,-0.20431,-0.75072 0.07840,0.81904,0.52583
03/10/20 14:40:39.149891 0.26847,-0.56767,-0.20610,-0.75046 0.06834,0.83447,0.50410
03/10/20 14:40:39.159321 0.26840,-0.56755,-0.20721,-0.75027 0.03552,0.83892,0.50132
03/10/20 14:40:39.168762 0.26843,-0.56750,-0.20791,-0.75011 0.01331,0.84793,0.49227
03/10/20 14:40:39.177956 0.26848,-0.56741,-0.20853,-0.74999 0.00347,0.84688,0.49480
03/10/20 14:40:39.187885 0.26868,-0.56715,-0.20911,-0.74995 -0.00245,0.84063,0.48949
03/10/20 14:40:39.197330 0.26888,-0.56694,-0.20958,-0.74990 -0.00938,0.83633,0.48391
03/10/20 14:40:39.206787 0.26912,-0.56670,-0.20991,-0.74991 -0.01038,0.83293,0.48247
03/10/20 14:40:39.216229 0.26940,-0.56636,-0.21014,-0.75000 -0.00397,0.83350,0.47923
03/10/20 14:40:39.225681 0.26966,-0.56600,-0.21030,-0.75014 -0.00321,0.83715,0.48017
03/10/20 14:40:39.235123 0.26991,-0.56558,-0.21037,-0.75034 -0.00247,0.84139,0.47718
03/10/20 14:40:39.245045 0.27013,-0.56509,-0.21049,-0.75060 -0.00005,0.83866,0.47866
03/10/20 14:40:39.254471 0.27030,-0.56471,-0.21077,-0.75074 0.00822,0.83369,0.47078
03/10/20 14:40:39.263660 0.27050,-0.56436,-0.21116,-0.75083 0.00008,0.83096,0.46102
03/10/20 14:40:39.273094 0.27066,-0.56398,-0.21157,-0.75094 -0.00205,0.83240,0.46225
03/10/20 14:40:39.282524 0.27123,-0.56249,-0.21158,-0.75185 0.00117,0.80519,0.47404
03/10/20 14:40:39.291958 0.27178,-0.56090,-0.21161,-0.75282 0.00760,0.81601,0.47242
03/10/20 14:40:39.301865 0.27216,-0.55941,-0.21166,-0.75378 0.01536,0.81719,0.47482
03/10/20 14:40:39.311279 0.27257,-0.55779,-0.21149,-0.75489 0.00655,0.80874,0.46880
03/10/20 14:40:39.320709 0.27304,-0.55606,-0.21101,-0.75612 -0.00831,0.81226,0.46444
03/10/20 14:40:39.329887 0.27354,-0.55414,-0.21018,-0.75758 -0.01431,0.80773,0.45837
